fec_id,crp_id,crp_candidate_name,gender,party,crpico,office,race,opponent_name,opponent_fecid,crp_current_candidate,crp_cyclecand,crp_primary_results,last_name,first_name,middle_name,suffix,nickname,vs_candname,vs_filename,face_url,vs_canddetails,vs_filesize,birthday,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
H2NY14037,N00000078,Carolyn B Maloney,F,D,I,NY12,House,"['Carlos Santiago-Cano', 'Steven Kolln']","['H0NY12209', 'H0NY12217']",Y,Y,W,Carolyn,Maloney,,,,Carolyn Maloney,USH_NY_CAROLYN_MALONEY.jpg,https://static.votesmart.org/static/canphoto/26978.jpg,"
                Carolyn Maloney

                (Won)

                Democratic
",4550.0,,,,,,,,,,,,,,,,,,,,,
H8MA02041,N00000153,Richard E Neal,M,D,I,MA01,House,"['John Cain', 'Alex Morse']","['H0MA01073', 'H0MA01081']",Y,Y,,Richard,Neal,,,,Richard Neal,USH_MA_RICHARD_NEAL.jpg,https://static.votesmart.org/static/canphoto/26895.jpg,"
                Richard Neal

                (Won)

                Democratic
",3639.0,,,,,,,,,,,,,,,,,,,,,
H4MA03022,N00000179,James P McGovern,M,D,I,MA02,House,['Summer Rae Miller'],['H0MA02113'],Y,Y,,,,,,,Jim McGovern,USH_MA_JIM_MCGOVERN.jpg,https://static.votesmart.org/static/canphoto/552.jpg,"
                Jim McGovern

                (Won)

                Democratic
",4290.0,,,,,,,,,,,,,,,,,,,,,
S4MA00028,N00000270,Ed Markey,M,D,I,MAS2,Senate,"['Joe Kennedy III', 'Frederick Mayock', 'Shiva Ayyadurai', 'Shannon Liss-Riordan', 'Andre Gray', 'Washington Blask', ""Kevin O'Connor"", 'Edward James Mazzuchelli']","['S0MA00208', 'S0MA00174', 'S8MA00268', 'S0MA00166', 'S0MA00190', 'S0MA00224', 'S0MA00232', 'S0MA00240']",Y,Y,,Ed,Markey,,,,Ed Markey,USS_MA_ED_MARKEY.jpg,https://static.votesmart.org/static/canphoto/26900.jpg,"
                Ed Markey

                (Won)

                Democratic
",3934.0,,,,,,,,,,,,,,,,,,,,,
S6RI00163,N00000362,Jack Reed,M,D,I,RIS2,Senate,['Allen Waters'],['S0RI00067'],Y,Y,,Jack,Reed,,,Jack,Jack Reed,USS_RI_JACK_REED.jpg,https://static.votesmart.org/static/canphoto/27060.jpg,"
                Jack Reed

                (Won)

                Democratic
",4296.0,11/12/49,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949.0,N00000362,S259,24239.0,300081.0,27060.0,Jack Reed,,29142.0,Jack Reed (Rhode Island politician)
S6ME00159,N00000491,Susan Collins,F,R,I,MES2,Senate,"['Max Linn', 'Danielle Vanhelsing', 'Sara Gideon', 'Lisa Savage', 'Tiffany Bond']","['S8ME00163', 'S0ME00079', 'S0ME00111', 'S0ME00137', 'S0ME00160']",Y,Y,W,Susan,Collins,,,,Susan Collins,USS_ME_SUSAN_COLLINS.jpg,https://static.votesmart.org/static/canphoto/379.jpg,"
                Susan Collins

                (Won)

                Republican
",4521.0,,,,,,,,,,,,,,,,,,,,,
H6VT00160,N00000515,Peter Welch,M,D,I,VT01,House,"['Cris Ericson', 'Miriam Berry', 'Chris Brimmer']","['H8VT00141', 'H0VT00130', 'H0VT00148']",Y,Y,W,,,,,,Peter Welch,USH_VT_PETER_WELCH.jpg,https://static.votesmart.org/static/canphoto/51272.jpg,"
                Peter Welch

                (Won)

                Democratic
",3663.0,5/2/47,https://welch.house.gov,2187 Rayburn House Office Building Washington DC 20515-4500,202-225-4115,,http://www.welch.house.gov/index.php?format=feed&amp;type=rss,PeterWelch,PeterWelch,reppeterwelch,UC0YfApJx6qNaAQ-ir93U8xA,W000800,1879.0,N00000515,,1019990.0,412239.0,51272.0,Peter Welch,,20750.0,Peter Welch
H8CT01046,N00000575,John B Larson,M,D,I,CT01,House,"['Mary Fay', 'Jim Griffin']","['H0CT01126', 'H0CT01134']",Y,Y,W,,,,,,John Larson,USH_CT_JOHN_LARSON.jpg,https://static.votesmart.org/static/canphoto/17188.jpg,"
                John Larson

                (Won)

                Democratic
",4784.0,,,,,,,,,,,,,,,,,,,,,
H0CT03072,N00000615,Rosa L DeLauro,F,D,I,CT03,House,"['Margaret Streicker', 'Justin Paglino']","['H0CT03155', 'H0CT03163']",Y,Y,W,Rosa,Delauro,,,,Rosa DeLauro,USH_CT_ROSA_DELAURO.jpg,https://static.votesmart.org/static/canphoto/26788.jpg,"
                Rosa DeLauro

                (Won)

                Democratic
",4384.0,,,,,,,,,,,,,,,,,,,,,
H6NJ08118,N00000751,Bill Pascrell Jr.,M,D,I,NJ09,House,['Billy Prempeh'],['H0NJ09200'],Y,Y,W,,,,,,"Bill Pascrell, Jr.",USH_NJ_BILL_PASCRELL_JR.jpg,https://static.votesmart.org/static/canphoto/478.jpg,"
                Bill Pascrell, Jr.

                (Won)

                Democratic
",3738.0,,,,,,,,,,,,,,,,,,,,,
