last_name,first_name,middle_name,suffix,state,face_url,fec_ids
Baldwin,Tammy,NA,NA,WI,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Tammy_Baldwin.jpeg,S2WI00219
Brown,Sherrod,NA,NA,OH,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Sherrod_Brown.jpg,S6OH00163
Cantwell,Maria,NA,NA,WA,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Maria_Cantwell.jpg,S8WA00194
Cardin,Benjamin,L.,NA,MD,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Ben_Cardin.jpg,S6MD03177
Carper,Thomas,R.,NA,DE,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Tom_Carper.jpg,S8DE00079
Casey,Robert,P.,Jr.,PA,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Bob_Casey__Jr._113th_Congress-7_fixed.jpg,S6PA00217
Feinstein,Dianne,NA,NA,CA,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DianneFeinsteinReplace.jpg,S0CA00199
Gillibrand,Kirsten,E.,NA,NY,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kirsten_Gillibrand.jpg,S0NY00410
Heinrich,Martin,NA,NA,NM,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Martin_Heinrich.jpg,S2NM00088
Hirono,Mazie,K.,NA,HI,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mazie_Hirono_official.jpg,S2HI00106
Kaine,Tim,NA,NA,VA,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Tim_Kaine__official_113th_Congress_photo_portrait-7_fixed.jpg,S2VA00142
Klobuchar,Amy,NA,NA,MN,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Amy_Klobuchar.jpg,S6MN00267
Manchin,Joe,NA,III,WV,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Joe_Manchin.jpg,S0WV00090
Menendez,Robert,NA,NA,NJ,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/bobmenendez.jpg,S6NJ00289
Murphy,Christopher,NA,NA,CT,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Christopher_S._Murphy.jpg,S2CT00132
Rosen,Jacky,NA,NA,NV,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jacky_Rosen.jpg,S8NV00156
Sinema,Kyrsten,NA,NA,AZ,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kyrsten_Sinema.jpeg,S8AZ00197
Stabenow,Debbie,NA,NA,MI,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Debbie_Stabenow.jpg,S8MI00281
Tester,Jon,NA,NA,MT,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jon_Tester.jpg,S6MT00162
Warren,Elizabeth,NA,NA,MA,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Elizabeth_Warren--Official_113th_Congressional_Portrait--.jpg,S2MA00170
Whitehouse,Sheldon,NA,NA,RI,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Sheldon_Whitehouse_113th_Congress.jpg,S6RI00221
Barrasso,John,NA,NA,WY,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/John_Barrasso.jpg,S6WY00068
Blackburn,Marsha,NA,NA,TN,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Marsha_Blackburn.jpg,S8TN00337
Braun,Mike,NA,NA,IN,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mike_Braun.png,S8IN00171
Cramer,Kevin,NA,NA,ND,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/399px-Kevin_Cramer_official_115th_portrait.jpg,S8ND00120
Cruz,Ted,NA,NA,TX,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Ted_Cruz.jpg,S2TX00312
Fischer,Deb,NA,NA,NE,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DFischer.jpg,S2NE00094
Hawley,Josh,NA,NA,MO,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Josh-Hawley.jpg,S8MO00160
Romney,Mitt,NA,NA,UT,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/473px-Mitt_Romney_official_US_Senate_portrait.jpg,S8UT00176
Scott,Rick,NA,NA,FL,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Rick_Scott.jpg,S8FL00273
Wicker,Roger,F.,NA,MS,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Roger_Wicker.jpg,S8MS00196
King,Angus,S.,Jr.,ME,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Angus_King_official_portrait.jpg,S2ME00109
Sanders,Bernard,NA,NA,VT,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Bernie_Sanders.jpg,S4VT00033
Bennet,Michael,F.,NA,CO,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael_Bennet.jpg,S0CO00211
Blumenthal,Richard,NA,NA,CT,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Richard_Blumenthal.jpg,S0CT00177
Cortez Masto,Catherine,NA,NA,NV,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Catherine_Cortez_Masto.jpg,S6NV00200
Duckworth,Tammy,NA,NA,IL,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Tammy_Duckworth__official_portrait__113th_Congress-7_fixed.jpg,S6IL00292
Hassan,Margaret,Wood,NA,NH,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Maggie_Hassan__official_portrait__115th_Congress_fixed.jpg,S6NH00091
Kelly,Mark,NA,NA,AZ,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mark-Kelly.png,S0AZ00350
Leahy,Patrick,J.,NA,VT,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Patrick_Leahy.jpg,S4VT00017
Murray,Patty,NA,NA,WA,http://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Patty_Murray.jpg,S2WA00189
